,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-6.2831855,-9.854846e-07,0.016228393,0.23976372,0.1794376,0.15459834,0.15385535,0.1378505,0.14486575,0.13219589,0.13735735,0.12894148,0.13210765
1,-6.1562524,0.413063,0.013070181,0.30185908,0.2522177,0.23191611,0.23370028,0.22184122,0.22956094,0.21794274,0.22357485,0.21605492,0.21971104
2,-6.0293193,0.42126626,0.00991188,0.36395526,0.32499772,0.30923444,0.31354558,0.30481967,0.3119288,0.30042234,0.30587012,0.29924563,0.30231854
3,-5.902386,0.1862145,0.006753698,0.42605132,0.3977778,0.3865521,0.39339116,0.3861376,0.39346197,0.3825639,0.3881643,0.38182124,0.38492373
4,-5.7754536,0.20595157,0.0035954863,0.48814684,0.47055793,0.46386993,0.47323504,0.4674544,0.47499475,0.4647056,0.47045848,0.46439683,0.46752748
5,-5.6485205,0.61193323,0.00043727458,0.55024254,0.5433377,0.54118794,0.5530801,0.54877204,0.5565283,0.54684836,0.552753,0.54697216,0.5501311
6,-5.5215874,0.9816221,-0.0027210414,0.6123384,0.61611766,0.6185064,0.63292557,0.63008976,0.6380617,0.62899005,0.63504815,0.6295477,0.6327356
7,-5.3946543,0.9302497,-0.0058792084,0.6744342,0.68889767,0.6958238,0.71277034,0.7114071,0.71959466,0.7111316,0.71734285,0.7121237,0.7153397
8,-5.267721,0.64969504,-0.00903745,0.73653024,0.76167774,0.77314204,0.792616,0.7927249,0.8011287,0.7932743,0.7996371,0.7946992,0.7979444
9,-5.140788,0.636742,-0.012195677,0.7986259,0.8344575,0.85046005,0.8724609,0.8740427,0.88266146,0.87541604,0.8819319,0.87727475,0.8805481
10,-5.013855,0.99287987,-0.015353888,0.8607218,0.90723765,0.9277781,0.9523063,0.95536,0.9641952,0.9575583,0.96422637,0.9598506,0.9631525
11,-4.886922,1.2802502,-0.018512234,0.9216634,0.9427358,0.9905431,1.0281543,1.0316411,1.0433668,1.0357449,1.044907,1.0417447,1.0455438
12,-4.759989,1.1363351,-0.021670356,0.9530028,0.96488774,0.99581647,1.023094,1.0220186,1.031322,1.022598,1.0304807,1.0265563,1.0297941
13,-4.633056,0.78304744,-0.024828613,0.9843422,0.98704016,1.0010903,1.0180342,1.0123968,1.0192769,1.0094508,1.016054,1.011368,1.0140436
14,-4.506123,0.7143662,-0.02798678,1.0156814,1.0091922,1.0063641,1.012974,1.0027744,1.0072323,0.9963045,1.001628,0.99617964,0.9982935
15,-4.37919,1.0017754,-0.031145021,1.047021,1.0313443,1.0116379,1.0079134,0.9931517,0.9951871,0.98315763,0.9872012,0.98099107,0.9825436
16,-4.252257,1.1941454,-0.034303293,1.0030336,1.0383059,1.0159621,1.0028539,0.98353,0.9831423,0.9700109,0.9727746,0.96580297,0.9667934
17,-4.125324,0.95284957,-0.03746155,0.889398,0.91753054,0.89762366,0.8871114,0.87299895,0.87739545,0.8622334,0.8692602,0.86083215,0.8654226
18,-3.9983907,0.52902454,-0.040619746,0.7757624,0.7967558,0.77928513,0.7702616,0.7575051,0.7626486,0.7483536,0.7553046,0.74711746,0.7515639
19,-3.8714578,0.4118514,-0.043777987,0.66212714,0.67598087,0.66094744,0.6534116,0.6420103,0.64790195,0.63447356,0.6413487,0.6334026,0.6377056
20,-3.7445247,0.64240384,-0.04693626,0.54849166,0.5552061,0.54260886,0.5365622,0.526516,0.53315485,0.5205935,0.52739227,0.51968795,0.5238472
21,-3.6175916,0.7578868,-0.050060704,0.4348564,0.43443072,0.4242705,0.41971222,0.41102168,0.41840848,0.4067139,0.41343662,0.4059732,0.40998814
22,-3.4906588,0.44462663,-0.053169936,0.32122076,0.3136564,0.30593216,0.30286235,0.29552725,0.30366153,0.2928343,0.2994813,0.29225847,0.29612955
23,-3.3637257,-0.018417493,-0.056204513,0.20758526,0.19288142,0.18759407,0.18601245,0.18003297,0.18891487,0.1789544,0.18552518,0.17854324,0.18227112
24,-3.2367926,-0.14931718,-0.058665223,0.09395014,0.07210626,0.06925534,0.06916233,0.0645385,0.07416811,0.06507442,0.071569204,0.06482821,0.06841243
25,-3.1098595,0.06188197,-0.061125852,-0.019685164,-0.04866837,-0.04908289,-0.047687925,-0.050956227,-0.040579,-0.048806153,-0.042386442,-0.048886336,-0.04544639
26,-2.9829264,0.14196087,-0.063586615,-0.13332106,-0.16944395,-0.16742112,-0.16453767,-0.16645008,-0.15532544,-0.1626854,-0.15634245,-0.1626007,-0.15930483
27,-2.8559935,-0.1972122,-0.06666083,-0.24695648,-0.29021847,-0.28575915,-0.28138736,-0.28194475,-0.27007198,-0.2765652,-0.2702984,-0.2763156,-0.27316326
28,-2.7290604,-0.6507013,-0.071384355,-0.36059183,-0.4109934,-0.4040975,-0.39823744,-0.39743897,-0.3848192,-0.3904454,-0.38425446,-0.39003026,-0.38702214
29,-2.6021273,-0.74652135,-0.07540183,-0.46486998,-0.51011807,-0.5209549,-0.5140407,-0.51280105,-0.499566,-0.5041083,-0.49790618,-0.50319,-0.5007347
30,-2.4751945,-0.506661,-0.07925522,-0.5690912,-0.6037622,-0.6092476,-0.6030662,-0.60446197,-0.5932096,-0.59827733,-0.59274226,-0.5979824,-0.59573084
31,-2.3482614,-0.41363758,-0.083163366,-0.6733129,-0.6974069,-0.6975405,-0.69209164,-0.69612247,-0.68676,-0.6924459,-0.6875789,-0.6927739,-0.69072676
32,-2.2213283,-0.72966796,-0.08862252,-0.7775347,-0.79105145,-0.78583276,-0.7811171,-0.78778327,-0.7803108,-0.78661495,-0.78241515,-0.7875667,-0.78572285
33,-2.0943952,-1.125833,-0.094174296,-0.8816849,-0.8846966,-0.87412596,-0.8700434,-0.8794194,-0.8738616,-0.8807838,-0.8772515,-0.8823591,-0.88071895
34,-1.9674622,-1.142732,-0.098380074,-0.9271643,-0.9212561,-0.9128697,-0.9086267,-0.9180209,-0.9134515,-0.9210316,-0.91787434,-0.922368,-0.9209875
