,0,1,2,3,4,5,6,7
0,0.0,0.0,-0.20165035,-0.06556745,-0.045456424,-0.037055165,-0.028416254,-0.020868596
1,0.06346652,-0.11261371,-0.20674968,-0.10766201,-0.10306548,-0.10175964,-0.09738702,-0.0931505
2,0.12693304,-0.20188065,-0.21158838,-0.1490829,-0.15942284,-0.16463876,-0.16390967,-0.1623925
3,0.19039956,-0.2534483,-0.21614054,-0.18966366,-0.21431145,-0.22545944,-0.22774935,-0.22837076
4,0.25386608,-0.26744992,-0.22038406,-0.22924642,-0.26752892,-0.2840103,-0.2887011,-0.29089937
5,0.3173326,-0.2583556,-0.22430095,-0.26768357,-0.3188897,-0.34010237,-0.34659,-0.34983012
6,0.3807991,-0.24924052,-0.22787723,-0.30483848,-0.36822566,-0.39356983,-0.40127164,-0.40505147
7,0.44426563,-0.2627036,-0.23110339,-0.34058592,-0.41538656,-0.4442699,-0.45263082,-0.4564868
8,0.50773215,-0.3119739,-0.23397407,-0.37481335,-0.46024016,-0.49208212,-0.5005804,-0.50409156
9,0.5711987,-0.3956677,-0.23648807,-0.40742016,-0.50267226,-0.53690785,-0.54505926,-0.5478509
10,0.6346652,-0.4982403,-0.23864836,-0.4383182,-0.54258555,-0.57866865,-0.5860295,-0.5877752
11,0.6981317,-0.59595525,-0.24046126,-0.46743122,-0.57989943,-0.6173043,-0.6234749,-0.62389714
12,0.7615982,-0.66604805,-0.24193668,-0.49469432,-0.6145482,-0.6527717,-0.6573964,-0.65626687
13,0.8250648,-0.6955141,-0.24308717,-0.52005345,-0.64648,-0.6850418,-0.68781,-0.6849485
14,0.88853127,-0.6861,-0.24392784,-0.54346406,-0.6756552,-0.7140981,-0.71474355,-0.7100156
15,0.95199776,-0.6535553,-0.24447554,-0.56489086,-0.70204484,-0.7399339,-0.73823303,-0.7315479
16,1.0154643,-0.6214324,-0.24474853,-0.584306,-0.725629,-0.76255053,-0.7583203,-0.7496273
17,1.0789309,-0.611856,-0.24476576,-0.6016884,-0.7463947,-0.7819546,-0.7750496,-0.7643344
18,1.1423974,-0.63685066,-0.24454671,-0.6170224,-0.7643349,-0.79815644,-0.78846586,-0.7757462
19,1.2058638,-0.693609,-0.24411032,-0.6302968,-0.77944654,-0.811168,-0.79861146,-0.78393304
20,1.2693304,-0.7655413,-0.24347478,-0.64150393,-0.7917291,-0.82100147,-0.80552524,-0.7889569
21,1.3327969,-0.8286983,-0.24265724,-0.6506381,-0.8011834,-0.8276674,-0.80924016,-0.7908698
22,1.3962634,-0.8610662,-0.24167332,-0.65769523,-0.8078108,-0.83117443,-0.80978274,-0.78971237
23,1.4597299,-0.8511146,-0.24053642,-0.6626719,-0.81161165,-0.8315274,-0.8071721,-0.7855136
24,1.5231965,-0.80226576,-0.23925784,-0.6655648,-0.81258553,-0.8287278,-0.8014189,-0.77829003
25,1.586663,-0.73154867,-0.23784643,-0.66636974,-0.81073,-0.8227729,-0.7925263,-0.76804686
26,1.6501296,-0.6629591,-0.23630828,-0.66508204,-0.80604076,-0.8136564,-0.78049,-0.7547779
27,1.713596,-0.618112,-0.23464665,-0.66169596,-0.79851174,-0.8013684,-0.76529807,-0.7384668
28,1.7770625,-0.60782886,-0.232862,-0.65620446,-0.7881354,-0.7858965,-0.746934,-0.7190886
29,1.8405291,-0.6279334,-0.23095202,-0.6485995,-0.7749033,-0.76722676,-0.7253759,-0.69661146
30,1.9039955,-0.6608956,-0.22891146,-0.6388726,-0.7588066,-0.7453446,-0.70059985,-0.67099935
31,1.9674621,-0.68268216,-0.22673255,-0.6270152,-0.7398373,-0.72023696,-0.672581,-0.6422134
32,2.0309286,-0.67214525,-0.22440511,-0.6130187,-0.7179894,-0.69189376,-0.6412967,-0.6102158
33,2.0943952,-0.61929464,-0.22191647,-0.5968759,-0.69326013,-0.6603099,-0.6067282,-0.5749724
34,2.1578617,-0.52922845,-0.2192525,-0.5785816,-0.66565144,-0.6254874,-0.56886387,-0.53645563
35,2.2213283,-0.42019516,-0.21639717,-0.5581333,-0.63517183,-0.5874374,-0.52770185,-0.49464807
36,2.2847948,-0.31653804,-0.21333349,-0.5355327,-0.60183764,-0.5461828,-0.48325253,-0.449546
37,2.348261,-0.2392714,-0.21004355,-0.51078665,-0.5656748,-0.50176036,-0.43554252,-0.4011623
38,2.4117277,-0.19795817,-0.20650947,-0.4839078,-0.5267205,-0.45422208,-0.3846156,-0.34952974
39,2.4751942,-0.18705332,-0.20271334,-0.45491603,-0.48502526,-0.40363872,-0.33053684,-0.29470423
40,2.5386608,-0.18813437,-0.19863811,-0.42384025,-0.44065362,-0.35010022,-0.27339423,-0.23676741
41,2.6021273,-0.1771506,-0.19426793,-0.39071813,-0.3936859,-0.29371768,-0.21330038,-0.17582898
